City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Linxia,CN,35.6003,103.2064,53.89,76,0,4.92,clear sky
307,Jepara,ID,-5.1695,105.7044,76.14,91,39,0.78,scattered clouds
308,Qasigiannguit,GL,68.8193,-51.1922,44.13,83,100,4.23,overcast clouds
309,Puerto Escondido,MX,15.85,-97.0667,88.72,64,35,7.36,scattered clouds
310,Cap-Aux-Meules,CA,47.3821,-61.8597,69.85,94,75,18.41,broken clouds
311,Nelson Bay,AU,-32.7167,152.15,55.99,59,100,8.21,overcast clouds
312,Ilo,PE,-17.6394,-71.3375,63.46,77,100,8.05,overcast clouds
313,Verkhoyansk,RU,67.5447,133.385,45.68,82,100,6.55,overcast clouds
314,Custodia,BR,-8.0875,-37.6431,73.96,66,29,15.23,scattered clouds
315,Corpus Christi,US,27.8006,-97.3964,98.17,66,0,10.0,clear sky
316,Plotnikovo,RU,55.0247,85.9436,57.54,94,100,6.82,light rain
317,Bambous Virieux,MU,-20.3428,57.7575,70.05,68,40,21.85,light rain
318,Verkhnyaya Tura,RU,58.3594,59.8175,63.43,97,41,7.47,scattered clouds
319,Marzuq,YE,14.4,46.4667,83.08,43,100,8.43,overcast clouds
320,Yeppoon,AU,-23.1333,150.7333,56.98,81,99,14.34,overcast clouds
321,Namatanai,PG,-3.6667,152.4333,78.08,79,100,5.28,overcast clouds
322,Tolaga Bay,NZ,-38.3667,178.3,57.36,97,100,13.27,light rain
323,Bratsk,RU,56.1325,101.6142,54.09,93,91,3.24,overcast clouds
324,Rujewa,TZ,-8.7,34.3833,64.9,55,20,10.42,few clouds
325,Leningradskiy,RU,69.3833,178.4167,34.7,95,100,15.5,overcast clouds
326,Sorland,NO,67.667,12.6934,53.22,84,74,5.39,broken clouds
327,Port Hedland,AU,-20.3167,118.5667,57.25,94,12,5.75,few clouds
328,Susa,TN,35.8254,10.637,83.98,54,0,11.5,clear sky
329,Keetmanshoop,NA,-26.5833,18.1333,54.1,56,1,10.16,clear sky
330,Ancona,IT,43.55,13.1667,76.6,55,0,1.14,clear sky
331,Necochea,AR,-38.5473,-58.7368,55.58,38,3,15.32,clear sky
